Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01929.07","Abaca, manila hemp, raw","2010","2010","100 g/ha","8275","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01929.07","Abaca, manila hemp, raw","2011","2011","100 g/ha","8267","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01929.07","Abaca, manila hemp, raw","2012","2012","100 g/ha","7647","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01929.07","Abaca, manila hemp, raw","2013","2013","100 g/ha","8571","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01929.07","Abaca, manila hemp, raw","2014","2014","100 g/ha","8237","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01929.07","Abaca, manila hemp, raw","2015","2015","100 g/ha","7937","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01929.07","Abaca, manila hemp, raw","2016","2016","100 g/ha","8261","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01929.07","Abaca, manila hemp, raw","2017","2017","100 g/ha","8009","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01929.07","Abaca, manila hemp, raw","2018","2018","100 g/ha","7932","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01929.07","Abaca, manila hemp, raw","2019","2019","100 g/ha","7905","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01929.07","Abaca, manila hemp, raw","2020","2020","100 g/ha","7859","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01929.07","Abaca, manila hemp, raw","2021","2021","100 g/ha","7813","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01379.01","Areca nuts","2010","2010","100 g/ha","12623","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01379.01","Areca nuts","2011","2011","100 g/ha","12330","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01379.01","Areca nuts","2012","2012","100 g/ha","12570","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01379.01","Areca nuts","2013","2013","100 g/ha","8545","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01379.01","Areca nuts","2014","2014","100 g/ha","3428","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01379.01","Areca nuts","2015","2015","100 g/ha","4321","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01379.01","Areca nuts","2016","2016","100 g/ha","4138","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01379.01","Areca nuts","2017","2017","100 g/ha","4345","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01379.01","Areca nuts","2018","2018","100 g/ha","4374","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01379.01","Areca nuts","2019","2019","100 g/ha","4464","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01379.01","Areca nuts","2020","2020","100 g/ha","4364","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01379.01","Areca nuts","2021","2021","100 g/ha","4336","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01311","Avocados","2010","2010","100 g/ha","109367","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01311","Avocados","2011","2011","100 g/ha","127443","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01311","Avocados","2012","2012","100 g/ha","140169","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01311","Avocados","2013","2013","100 g/ha","137869","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01311","Avocados","2014","2014","100 g/ha","137369","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01311","Avocados","2015","2015","100 g/ha","134557","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01311","Avocados","2016","2016","100 g/ha","133836","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01311","Avocados","2017","2017","100 g/ha","134461","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01311","Avocados","2018","2018","100 g/ha","134528","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01311","Avocados","2019","2019","100 g/ha","132995","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01311","Avocados","2020","2020","100 g/ha","132747","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01311","Avocados","2021","2021","100 g/ha","132500","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01312","Bananas","2010","2010","100 g/ha","568256","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01312","Bananas","2011","2011","100 g/ha","588799","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01312","Bananas","2012","2012","100 g/ha","599959","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01312","Bananas","2013","2013","100 g/ha","596683","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01312","Bananas","2014","2014","100 g/ha","601980","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01312","Bananas","2015","2015","100 g/ha","601016","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01312","Bananas","2016","2016","100 g/ha","598900","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01312","Bananas","2017","2017","100 g/ha","601906","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01312","Bananas","2018","2018","100 g/ha","602069","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01312","Bananas","2019","2019","100 g/ha","520211","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01312","Bananas","2020","2020","100 g/ha","466508","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01312","Bananas","2021","2021","100 g/ha","601174","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01701","Beans, dry","2010","2010","100 g/ha","11300","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01701","Beans, dry","2011","2011","100 g/ha","11480","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01701","Beans, dry","2012","2012","100 g/ha","11602","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01701","Beans, dry","2013","2013","100 g/ha","11241","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01701","Beans, dry","2014","2014","100 g/ha","11758","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01701","Beans, dry","2015","2015","100 g/ha","11830","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01701","Beans, dry","2016","2016","100 g/ha","11297","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01701","Beans, dry","2017","2017","100 g/ha","11689","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01701","Beans, dry","2018","2018","100 g/ha","12242","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01701","Beans, dry","2019","2019","100 g/ha","12090","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01701","Beans, dry","2020","2020","100 g/ha","11330","E","Estimated value",""
